
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
107,Green Bay,28,15,13,.536,-5.37,-2.60,,10,7,,8,4,,5,8,,2101,2113,,65.3,113.9,.431,.382,.593,50.3,54.0,6.9,8.9,.553,14.6,26.5,.324
108,Hampton,26,12,14,.462,-7.38,-4.80,,6,7,,9,1,,2,9,,1822,1788,,66.3,104.7,.381,.369,.516,52.0,50.6,9.9,9.8,.474,14.5,34.5,.271
109,Harvard,24,14,10,.583,-1.95,-3.82,,7,3,,7,4,,7,5,,1699,1627,,63.9,109.6,.278,.384,.575,49.6,53.8,11.4,10.8,.540,15.0,26.3,.223
110,Hawaii,24,18,6,.750,6.38,-3.76,,10,4,,14,1,,4,5,,1914,1627,,71.9,110.3,.430,.403,.569,54.8,53.2,9.2,9.1,.528,16.4,33.4,.316
111,High Point,28,24,4,.857,7.18,-7.98,,12,1,,15,1,,6,2,,2570,1975,,72.0,126.3,.438,.415,.611,52.1,54.1,15.9,11.3,.575,11.0,33.7,.326
112,Hofstra,27,17,10,.630,2.73,-1.75,,8,6,,7,2,,8,8,,2046,1831,,66.4,113.5,.311,.431,.555,53.7,50.7,7.4,11.0,.521,13.7,35.5,.232
113,Holy Cross,27,9,18,.333,-12.98,-5.30,,4,10,,6,6,,2,12,,1823,1969,,66.0,102.3,.312,.381,.530,47.8,43.8,8.9,4.7,.493,13.9,23.4,.229
114,Houston,25,23,2,.920,25.89,8.89,,11,1,,13,0,,5,1,,1957,1532,,64.9,120.0,.264,.413,.556,52.6,54.2,12.7,13.1,.524,10.5,37.1,.204
115,Houston Christian,26,9,17,.346,-9.51,-2.88,,5,12,,7,4,,2,12,,1762,1899,,65.0,103.7,.370,.372,.537,49.1,60.6,10.2,11.0,.502,16.8,31.6,.260
116,Howard,26,16,10,.615,-6.33,-9.37,,6,3,,9,4,,4,6,,1959,1781,,69.9,107.4,.433,.336,.548,52.7,61.7,12.7,10.1,.503,16.5,36.2,.314
117,Idaho,26,14,12,.538,-0.80,-1.80,,6,7,,8,3,,5,8,,2066,1915,,69.9,113.1,.339,.483,.573,52.2,47.9,8.6,5.8,.539,13.5,29.1,.253
118,Idaho State,27,10,17,.370,-5.10,-0.52,,3,11,,6,5,,3,11,,2006,2052,,66.3,111.6,.389,.422,.565,52.6,47.6,8.0,11.5,.524,14.5,34.5,.290
119,Illinois,26,21,5,.808,27.14,11.14,,12,3,,13,2,,6,1,,2189,1773,,66.1,126.1,.332,.511,.593,57.2,50.9,5.4,12.9,.556,11.4,38.9,.260
120,Illinois State,27,17,10,.630,6.93,0.05,,9,7,,11,2,,4,6,,2062,1838,,68.2,111.5,.314,.420,.567,52.7,50.5,8.5,6.6,.542,14.2,29.2,.219
121,Illinois-Chicago,27,15,12,.556,3.06,0.54,,10,6,,8,4,,6,7,,2027,1883,,67.7,109.9,.370,.326,.540,52.4,54.3,12.3,12.6,.499,14.8,37.4,.272
122,Incarnate Word,26,10,16,.385,-6.78,-1.48,,5,12,,8,4,,1,11,,1967,1944,,67.3,112.4,.328,.385,.552,51.8,43.9,8.1,7.7,.521,14.3,34.9,.234
123,Indiana,26,17,9,.654,18.51,9.51,,8,7,,13,2,,3,6,,2089,1855,,67.6,117.2,.358,.512,.599,50.6,64.2,7.2,7.5,.559,13.1,28.1,.282
124,Indiana State,27,10,17,.370,-2.92,-0.20,,3,13,,7,6,,3,10,,2028,2023,,69.2,106.1,.301,.446,.560,49.1,65.0,8.7,7.0,.538,16.6,27.2,.204
125,Iona,27,15,12,.556,-7.15,-7.23,,7,9,,9,3,,5,7,,1976,1974,,68.5,105.8,.287,.455,.546,47.5,53.9,10.2,8.0,.518,14.5,26.5,.203
126,Iowa,25,18,7,.720,19.17,7.09,,8,6,,12,2,,3,5,,1924,1622,,63.8,120.7,.366,.404,.609,51.0,57.7,11.5,7.1,.575,13.1,31.1,.279
127,Iowa State,25,22,3,.880,27.25,7.57,,9,3,,14,0,,4,3,,2105,1613,,68.8,122.3,.350,.377,.599,54.9,59.7,13.0,9.3,.581,13.4,37.3,.236
128,IU Indy,28,7,21,.250,-12.10,-3.98,,3,14,,5,7,,2,13,,2352,2466,,76.4,109.5,.213,.433,.548,45.9,64.0,12.0,8.9,.526,13.5,29.9,.156
129,Jackson State,25,8,17,.320,-18.90,-2.78,,7,5,,4,3,,4,12,,1735,2138,,71.4,96.7,.334,.435,.509,44.9,47.8,8.0,8.6,.461,17.1,27.3,.256
